cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify,BoilingPoint
2-(2-Methoxyethoxy)ethanol,120.15,38.7,8,3,5,0,3,0,0,0,Alcohol,467.15
Nonane,128.25,0,9,0,9,0,0,0,0,0,Hydrocarbon,423.95
Octylamine,129.24,26,9,1,8,1,0,0,0,0,Amine,451.75
Dibutylamine,129.24,12,9,1,8,1,0,0,0,0,Amine,435.15
"N,N-Dimethyldodecylamine",213.4,3.2,15,1,14,1,0,1,0,0,Amine,533.15
2-(Hexyloxy)ethanol,146.23,29.5,10,2,8,0,2,0,0,0,Alcohol,481.15
Triethylene glycol,150.17,58.9,10,4,6,0,4,1,0,0,Alcohol,561.75
1-Decanol,158.28,20.2,11,1,10,0,1,0,0,0,Alcohol,502.15
2-(2-Butoxyethoxy)ethanol,162.23,38.7,11,3,8,0,3,0,0,0,Alcohol,505.15
Dodecane,170.33,0,12,0,12,0,0,0,0,0,Hydrocarbon,489.45
1-Dodecene,168.32,0,12,0,12,0,0,0,1,0,Hydrocarbon,486.55
1-Undecanol,172.31,20.2,12,1,11,0,1,0,0,0,Alcohol,519.15
10-Undecen-1-OL,170.29,20.2,12,1,11,0,1,0,1,0,Alcohol,523.15
1-Dodecanol,186.33,20.2,13,1,12,0,1,0,0,0,Alcohol,537.25
Tetraethylenepentamine,189.3,88.1,13,5,8,5,0,1,0,0,Amine,614.65
Tetraethylene glycol,194.23,68.2,13,5,8,0,5,1,0,0,Alcohol,588.15
1-Tridecanol,200.36,20.2,14,1,13,0,1,0,0,0,Alcohol,560.15
1-Tetradecanol,214.39,20.2,15,1,14,0,1,0,0,0,Alcohol,568.95
"N,N-Dimethyltetradecylamine",241.46,3.2,17,1,16,1,0,1,0,0,Amine,575.15
1-Octadecene,252.5,0,18,0,18,0,0,0,1,0,Hydrocarbon,588.65
Stearyl alcohol,270.5,20.2,19,1,18,0,1,0,0,0,Alcohol,624.15
Eicosane,282.5,0,20,0,20,0,0,0,0,0,Hydrocarbon,617.25
Propylene,42.08,0,3,0,3,0,0,0,1,0,Hydrocarbon,225.55
Isobutylene,56.11,0,4,0,4,0,0,1,1,0,Hydrocarbon,266.15
2-Methyl-3-buten-2-OL,86.13,20.2,6,1,5,0,1,2,1,0,Alcohol,372.45
2-Methyl-3-butyn-2-OL,84.12,20.2,6,1,5,0,1,2,0,1,Alcohol,378.85
"2,2-Diethyl-1,3-propanediol",132.2,40.5,9,2,7,0,2,2,0,0,Alcohol,517.15
Pentaerythritol,136.15,80.9,9,4,5,0,4,3,0,0,Alcohol,631
"N,N-Diisopropylethylenediamine",144.26,29.3,10,2,8,2,0,3,0,0,Amine,394.15
Triethylamine,101.19,3.2,7,1,6,1,0,1,0,0,Amine,361.95
2-Methyl-1-butanol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol,401.15
Citronellol,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol,497.65
"2,5-Dimethyl-3-hexyne-2,5-diol",142.2,40.5,10,2,8,0,2,4,0,1,Alcohol,479.15
Heptane,100.2,0,7,0,7,0,0,0,0,0,Hydrocarbon,371.53
Dipropylamine,101.19,12,7,1,6,1,0,0,0,0,Amine,380.65
Nonan-1-ol,144.25,20.2,10,1,9,0,1,0,0,0,Alcohol,486.85
Decylamine,157.3,26,11,1,10,1,0,0,0,0,Amine,490.15
Dihexylamine,185.35,12,13,1,12,1,0,0,0,0,Amine,509.15
Bis(hexamethylene)triamine,215.38,64.099,15,3,12,3,0,1,0,0,Amine,493.15
Hexadecylamine,241.46,26,17,1,16,1,0,0,0,0,Amine,594.15
"2,2,4-Trimethyl-1,3-pentanediol",146.23,40.5,10,2,8,0,2,4,0,0,Alcohol,503.25
"Butane-1,2,3,4-tetrol",122.12,80.9,8,4,4,0,4,3,0,0,Alcohol,603.65
"3,6-Dimethyloctan-3-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol,471.15
"1,3-Butadiyne",50.06,0,4,0,4,0,0,0,0,2,Hydrocarbon,283.15
Allene,40.06,0,3,0,3,0,0,0,2,0,Hydrocarbon,238.35
Neopentane,72.15,0,5,0,5,0,0,2,0,0,Hydrocarbon,282.65
"2,2,3-Trimethylbutane",100.2,0,7,0,7,0,0,3,0,0,Hydrocarbon,353.95
"3,3-Dimethyl-2-butanol",102.17,20.2,7,1,6,0,1,3,0,0,Alcohol,393.15
"3-Butene-1,2-diol",88.11,40.5,6,2,4,0,2,1,1,0,Alcohol,469.65
Octamylamine,199.38,12,14,1,13,1,0,3,0,0,Amine,373.65
2-Butyne,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon,300.25
"1,3-Propanediol",76.09,40.5,5,2,3,0,2,1,0,0,Alcohol,487.85
Isophytol,296.5,20.2,21,1,20,0,1,5,1,0,Alcohol,741.51
"Heptadeca-8,10,12-trien-4,6-diyne-1,14-diol",258.35,40.5,19,2,17,0,2,1,3,2,Alcohol,802.96
1-Tetracosanol,354.7,20.2,25,1,24,0,1,0,0,0,Alcohol,675
2-Methyl-2-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon,311.65
Methallyl alcohol,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol,387.65
"2,3-Dimethyl-1,3-butadiene",82.14,0,6,0,6,0,0,2,2,0,Hydrocarbon,342.15
"2,2,4-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon,372.35
Myrcenol,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol,510.59
2-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol,432.15
Diisoamylamine,157.3,12,11,1,10,1,0,2,0,0,Amine,460.15
3-Hexen-1-ol,100.16,20.2,7,1,6,0,1,0,1,0,Alcohol,426.15
Hexadecane,226.44,0,16,0,16,0,0,0,0,0,Hydrocarbon,560.05
Dotriacontane,450.9,0,32,0,32,0,0,0,0,0,Hydrocarbon,743.15
3-Methyl-2-buten-1-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol,417.15
Polyvinyl alcohol,44.05,20.2,3,1,2,0,1,0,1,0,Alcohol,613.15
"3,3-Dimethyl-1-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon,314.39
"2,3,3-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon,387.85
"2,3,3-Trimethyl-1-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon,381.15
"3,3-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon,359.15
"3,3-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon,385.05
3-Methyl-1-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon,293.25
2-Methyl-1-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon,304.25
"2,3-Dimethyl-1-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon,328.74
"2,3-Dimethyl-2-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon,346.34
"2,2,3-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon,382.95
"2,3-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon,362.95
