cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
Nonan-1-ol,144.25,20.2,10,1,9,0,1,0,0,0,Alcohol
Decylamine,157.3,26,11,1,10,1,0,0,0,0,Amine
Dihexylamine,185.35,12,13,1,12,1,0,0,0,0,Amine
Bis(hexamethylene)triamine,215.38,64.099,15,3,12,3,0,1,0,0,Amine
Hexadecylamine,241.46,26,17,1,16,1,0,0,0,0,Amine
"2,2,4-Trimethyl-1,3-pentanediol",146.23,40.5,10,2,8,0,2,4,0,0,Alcohol
"Butane-1,2,3,4-tetrol",122.12,80.9,8,4,4,0,4,3,0,0,Alcohol
"3,6-Dimethyloctan-3-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
"1,3-Butadiyne",50.06,0,4,0,4,0,0,0,0,2,Hydrocarbon
Allene,40.06,0,3,0,3,0,0,0,2,0,Hydrocarbon
Neopentane,72.15,0,5,0,5,0,0,2,0,0,Hydrocarbon
"2,2,3-Trimethylbutane",100.2,0,7,0,7,0,0,3,0,0,Hydrocarbon
"3,3-Dimethyl-2-butanol",102.17,20.2,7,1,6,0,1,3,0,0,Alcohol
"3-Butene-1,2-diol",88.11,40.5,6,2,4,0,2,1,1,0,Alcohol
Octamylamine,199.38,12,14,1,13,1,0,3,0,0,Amine
2-Butyne,54.09,0,4,0,4,0,0,0,0,1,Hydrocarbon
"1,3-Propanediol",76.09,40.5,5,2,3,0,2,1,0,0,Alcohol
Isophytol,296.5,20.2,21,1,20,0,1,5,1,0,Alcohol
"Heptadeca-8,10,12-trien-4,6-diyne-1,14-diol",258.35,40.5,19,2,17,0,2,1,3,2,Alcohol
1-Tetracosanol,354.7,20.2,25,1,24,0,1,0,0,0,Alcohol
2-Methyl-2-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
Methallyl alcohol,72.11,20.2,5,1,4,0,1,1,1,0,Alcohol
"2,3-Dimethyl-1,3-butadiene",82.14,0,6,0,6,0,0,2,2,0,Hydrocarbon
"2,2,4-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
Myrcenol,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
2-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
Diisoamylamine,157.3,12,11,1,10,1,0,2,0,0,Amine
3-Hexen-1-ol,100.16,20.2,7,1,6,0,1,0,1,0,Alcohol
Hexadecane,226.44,0,16,0,16,0,0,0,0,0,Hydrocarbon
Dotriacontane,450.9,0,32,0,32,0,0,0,0,0,Hydrocarbon
3-Methyl-2-buten-1-OL,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
Polyvinyl alcohol,44.05,20.2,3,1,2,0,1,0,1,0,Alcohol
"3,3-Dimethyl-1-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,3,3-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3,3-Trimethyl-1-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"3,3-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
"3,3-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Methyl-1-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
2-Methyl-1-butene,70.13,0,5,0,5,0,0,1,1,0,Hydrocarbon
"2,3-Dimethyl-1-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,3-Dimethyl-2-butene",84.16,0,6,0,6,0,0,2,1,0,Hydrocarbon
"2,2,3-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3-Dimethylpentane",100.2,0,7,0,7,0,0,2,0,0,Hydrocarbon
3-Methyl-2-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
2-Methyl-3-pentanol,102.17,20.2,7,1,6,0,1,2,0,0,Alcohol
"2,3,4-Trimethylpentane",114.23,0,8,0,8,0,0,3,0,0,Hydrocarbon
"2,3,4-Trimethyl-2-pentene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"3,4-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Pentanol,88.15,20.2,6,1,5,0,1,1,0,0,Alcohol
"1,2-Butanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
"2,3-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
3-Methylhexane,100.2,0,7,0,7,0,0,1,0,0,Hydrocarbon
3-Methyl-1-pentanol,102.17,20.2,7,1,6,0,1,1,0,0,Alcohol
"2,4-Dimethylhexane",114.23,0,8,0,8,0,0,2,0,0,Hydrocarbon
4-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
4-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
4-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
3-Methylheptane,114.23,0,8,0,8,0,0,1,0,0,Hydrocarbon
3-Heptanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
3-Octanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
