cmpdname,mw,polararea,heavycnt,hbondacc,C number,N number,O number,Side chain number,Double bond number,Triple bond number,Classify
tert-Octylamine,129.24,26,9,1,8,1,0,4,0,0,Amine
"3,5-Dimethyl-1-hexyn-3-ol",126.2,20.2,9,1,8,0,1,3,0,1,Alcohol
"2-Butyl-2-ethyl-1,3-propanediol",160.25,40.5,11,2,9,0,2,2,0,0,Alcohol
"2,6,8-Trimethyl-4-nonanol",186.33,20.2,13,1,12,0,1,4,0,0,Alcohol
"2-Methyl-1,3-pentanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"2,3,4-Trimethylpent-1-ene",112.21,0,8,0,8,0,0,3,1,0,Hydrocarbon
"1,3-Butanediamine",88.15,52,6,2,4,2,0,1,0,0,Amine
"N,N-Dimethylpropylamine",87.16,3.2,6,1,5,1,0,1,0,0,Amine
3-Methoxy-3-methylbutan-1-ol,118.17,29.5,8,2,6,0,2,2,0,0,Alcohol
"1,3-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
Cetostearyl alcohol,512.9,40.5,36,2,34,0,2,0,0,0,Alcohol
Pentaethylene glycol,238.28,77.4,16,6,10,0,6,1,0,0,Alcohol
2-Butene,56.11,0,4,0,4,0,0,0,1,0,Hydrocarbon
"1,3-Butadiene, 2-methyl-, polymer with 2-methyl-1-propene",124.22,0,9,0,9,0,0,2,3,0,Hydrocarbon
2-(Decyloxy)ethanol,202.33,29.5,14,2,12,0,2,0,0,0,Alcohol
16-Methylheptadecan-1-ol,270.5,20.2,19,1,18,0,1,1,0,0,Alcohol
"3,7-Dimethyloct-6-en-1-yn-3-ol",152.23,20.2,11,1,10,0,1,3,1,1,Alcohol
Trihexylamine,269.5,3.2,19,1,18,1,0,1,0,0,Amine
"N,N,N'-Triethylethylenediamine",144.26,15.3,10,2,8,2,0,1,0,0,Amine
"N,N-Dimethylethylenediamine",88.15,29.3,6,2,4,2,0,1,0,0,Amine
"N,N,N',N'-Tetramethyl-1,4-butanediamine",144.26,6.5,10,2,8,2,0,2,0,0,Amine
"2,4-Dimethyl-1,3-pentadiene",96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
Tetramethylallene,96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
3-Hexyn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol
"2,2,7,7-Tetramethyloctane",170.33,0,12,0,12,0,0,4,0,0,Hydrocarbon
"2-Ethyl-2-methyl-1,3-propanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"3-Methyl-1,4-pentadiene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
Tripentaerythritol,372.41,180,25,10,15,0,10,7,0,0,Alcohol
"2-Methyl-2-propylpropane-1,3-diol",132.2,40.5,9,2,7,0,2,2,0,0,Alcohol
4-Dodecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
3-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol
3-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
3-Methyl-3-buten-2-ol,86.13,20.2,6,1,5,0,1,2,1,0,Alcohol
2-Methyl-1-undecanol,186.33,20.2,13,1,12,0,1,1,0,0,Alcohol
"1,4,7-Trimethyldiethylenetriamine",145.25,27.3,10,3,7,3,0,1,0,0,Amine
"(S)-3,7-Dimethyl-1,6-octadien-3-ol",154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
"N,N,N',N'-Tetraethylethylenediamine",172.31,6.5,12,2,10,2,0,2,0,0,Amine
1-Hexacosanol,382.7,20.2,27,1,26,0,1,0,0,0,Alcohol
1-Octacosanol,410.8,20.2,29,1,28,0,1,0,0,0,Alcohol
"2-Methylpropane-1,2-diol",90.12,40.5,6,2,4,0,2,2,0,0,Alcohol
1-Triacontanol,438.8,20.2,31,1,30,0,1,0,0,0,Alcohol
Trimethylborane,55.92,0,4,0,3,0,0,2,0,0,Hydrocarbon
2-Methylbutan-2-amine,87.16,26,6,1,5,1,0,2,0,0,Amine
3-Ethyl-3-hexanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
4-Ethyl-4-heptanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"3,7-Dimethyl-1,7-octadien-3-ol",154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
3-Methyl-1-butyne,68.12,0,5,0,5,0,0,1,0,1,Hydrocarbon
3-Buten-1-ol,72.11,20.2,5,1,4,0,1,0,1,0,Alcohol
N-Allylmethylamine,71.12,12,5,1,4,1,0,0,1,0,Amine
"1,5-Hexadiyne",78.11,0,6,0,6,0,0,0,0,2,Hydrocarbon
"1,8-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol
1-Octadecyne,250.5,0,18,0,18,0,0,0,0,1,Hydrocarbon
Triisopentylamine,227.43,3.2,16,1,15,1,0,4,0,0,Amine
"2,2-Dimethylhex-3-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
2-Methylhept-3-ene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"5-Methyl-1,4-hexadiene",96.17,0,7,0,7,0,0,1,2,0,Hydrocarbon
Cis-3-Penten-1-ol,86.13,20.2,6,1,5,0,1,0,1,0,Alcohol
Hex-2-yn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol
1-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
1-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
1-Pentadecyne,208.38,0,15,0,15,0,0,0,0,1,Hydrocarbon
5-Hexen-1-ol,100.16,20.2,7,1,6,0,1,0,1,0,Alcohol
"1,7-Octadiyne",106.16,0,8,0,8,0,0,0,0,2,Hydrocarbon
"N,N-Dimethyl-2-butanamine",101.19,3.2,7,1,6,1,0,2,0,0,Amine
"1,4-Pentadien-3-ol",84.12,20.2,6,1,5,0,1,1,2,0,Alcohol
5-Hexyn-1-ol,98.14,20.2,7,1,6,0,1,0,0,1,Alcohol
"N,N-Dimethylisopropylamine",87.16,3.2,6,1,5,1,0,2,0,0,Amine
"N,N-Dimethyldecylamine",185.35,3.2,13,1,12,1,0,1,0,0,Amine
Chimyl alcohol,316.5,49.7,22,3,19,0,3,1,0,0,Alcohol
"3,6,9,12-Tetraoxahexadecan-1-OL",250.33,57.2,17,5,12,0,5,0,0,0,Alcohol
3-Methoxy-1-propanol,90.12,29.5,6,2,4,0,2,0,0,0,Alcohol
1-Docosene,308.6,0,22,0,22,0,0,0,1,0,Hydrocarbon
2-Methyldotriacontane,464.9,0,33,0,33,0,0,1,0,0,Hydrocarbon
"3,6,9,12,15-Pentaoxanonadecan-1-ol",294.38,66.4,20,6,14,0,6,0,0,0,Alcohol
3-Ethyloctan-3-ol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
2-(Octadecyloxy)ethanol,314.5,29.5,22,2,20,0,2,0,0,0,Alcohol
"N,N-Dimethylallylamine",85.15,3.2,6,1,5,1,0,1,1,0,Amine
"2-Methyl-1,3-propanediol",90.12,40.5,6,2,4,0,2,1,0,0,Alcohol
1-Undecyne,152.28,0,11,0,11,0,0,0,0,1,Hydrocarbon
2-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
3-Decyne,138.25,0,10,0,10,0,0,0,0,1,Hydrocarbon
Butylallene,96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon
Triheptylamine,311.6,3.2,22,1,21,1,0,1,0,0,Amine
n-Methyloctan-1-amine,143.27,12,10,1,9,1,0,0,0,0,Amine
N-Methyloctadecylamine,283.5,12,20,1,19,1,0,0,0,0,Amine
Diheptylamine,213.4,12,15,1,14,1,0,0,0,0,Amine
3-Heptyne,96.17,0,7,0,7,0,0,0,0,1,Hydrocarbon
Triisooctylamine,353.7,3.2,25,1,24,1,0,4,0,0,Amine
2-Butylhexanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
10-Undecyn-1-ol,168.28,20.2,12,1,11,0,1,0,0,1,Alcohol
"2,6-Dimethyl-1-heptene",126.24,0,9,0,9,0,0,2,1,0,Hydrocarbon
10-Nonadecanamine,283.5,26,20,1,19,1,0,1,0,0,Amine
5-Methyl-1-hexene,98.19,0,7,0,7,0,0,1,1,0,Hydrocarbon
"1,2-Heptanediol",132.2,40.5,9,2,7,0,2,1,0,0,Alcohol
"2,4,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"2,4-Dimethylpentan-3-amine",115.22,26,8,1,7,1,0,3,0,0,Amine
N-Methyldioctadecylamine,536,3.2,38,1,37,1,0,1,0,0,Amine
Tris(2-aminoethyl)amine,146.23,81.3,10,4,6,4,0,2,0,0,Amine
"1,10-Undecadiyne",148.24,0,11,0,11,0,0,0,0,2,Hydrocarbon
Diethyl(1-propynyl)amine,111.18,3.2,8,1,7,1,0,1,0,1,Amine
"3,6,9,12,15-Pentaoxaheptadecan-1-ol",266.33,66.4,18,6,12,0,6,0,0,0,Alcohol
N-Methyldioctylamine,255.5,3.2,18,1,17,1,0,1,0,0,Amine
Diethyl(propyl)amine,115.22,3.2,8,1,7,1,0,1,0,0,Amine
di-n-Butylethylamine,157.3,3.2,11,1,10,1,0,1,0,0,Amine
2-Methyl-1-octene,126.24,0,9,0,9,0,0,1,1,0,Hydrocarbon
"N,N'-Bis(2-aminoethyl)-1,3-propanediamine",160.26,76.1,11,4,7,4,0,1,0,0,Amine
N-Methylisopropylamine,73.14,12,5,1,4,1,0,1,0,0,Amine
"1,8-Nonadiene",124.22,0,9,0,9,0,0,0,2,0,Hydrocarbon
"3,3,4,4-Tetramethylhexane",142.28,0,10,0,10,0,0,4,0,0,Hydrocarbon
Methanediol,48.041,40.5,3,2,1,0,2,1,0,0,Alcohol
"1,2-Decanediol",174.28,40.5,12,2,10,0,2,1,0,0,Alcohol
4-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol
"3,6,9,12,15,18-Hexaoxaicosane-1,20-diol",326.38,95.8,22,8,14,0,8,1,0,0,Alcohol
"3,6,9,12-Tetraoxatetradecan-1-ol",222.28,57.2,15,5,10,0,5,0,0,0,Alcohol
"N,N-Diethylallylamine",113.2,3.2,8,1,7,1,0,1,1,0,Amine
"1,12-Dodecanediol",202.33,40.5,14,2,12,0,2,1,0,0,Alcohol
Neopentylamine,87.16,26,6,1,5,1,0,2,0,0,Amine
3-Ethyloctane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
1-Nonadecanol,284.5,20.2,20,1,19,0,1,0,0,0,Alcohol
2-Pentyn-1-ol,84.12,20.2,6,1,5,0,1,0,0,1,Alcohol
Tris(2-methylallyl)amine,179.3,3.2,13,1,12,1,0,4,3,0,Amine
Bis-(dimethylaminopropyl)amine,187.33,18.5,13,3,10,3,0,2,0,0,Amine
Rhodinol,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol
2-(2-Propoxyethoxy)ethanol,148.2,38.7,10,3,7,0,3,0,0,0,Alcohol
Diisopropylethylamine,129.24,3.2,9,1,8,1,0,3,0,0,Amine
"N,N-Dimethylisobutylamine",101.19,3.2,7,1,6,1,0,2,0,0,Amine
Undecylamine,171.32,26,12,1,11,1,0,0,0,0,Amine
N-Methyldodecylamine,199.38,12,14,1,13,1,0,0,0,0,Amine
2-Ethyl-3-methylbut-1-ene,98.19,0,7,0,7,0,0,2,1,0,Hydrocarbon
"3-Methylpenta-1,2-diene",82.14,0,6,0,6,0,0,1,2,0,Hydrocarbon
N-tert-Butylisopropylamine,115.22,12,8,1,7,1,0,3,0,0,Amine
"1,16-Hexadecanediol",258.44,40.5,18,2,16,0,2,1,0,0,Alcohol
2-(Octyloxy)ethanol,174.28,29.5,12,2,10,0,2,0,0,0,Alcohol
1-Tetracosene,336.6,0,24,0,24,0,0,0,1,0,Hydrocarbon
"2,6-Dimethyl-2-heptanol",144.25,20.2,10,1,9,0,1,3,0,0,Alcohol
N-Methylhexadecylamine,255.5,12,18,1,17,1,0,0,0,0,Amine
(R)-(-)-2-Butanol,74.12,20.2,5,1,4,0,1,1,0,0,Alcohol
3-Octyn-1-ol,126.2,20.2,9,1,8,0,1,0,0,1,Alcohol
3-Octyne,110.2,0,8,0,8,0,0,0,0,1,Hydrocarbon
1-Heneicosanol,312.6,20.2,22,1,21,0,1,0,0,0,Alcohol
"2,2-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"4,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
3-Methylnonacosane,422.8,0,30,0,30,0,0,1,0,0,Hydrocarbon
2-Methyl-6-methyleneoct-7-en-4-ol,154.25,20.2,11,1,10,0,1,3,2,0,Alcohol
"2-Methyl-6-methyleneocta-2,7-dien-4-ol",152.23,20.2,11,1,10,0,1,3,3,0,Alcohol
2-Hexadecanol,242.44,20.2,17,1,16,0,1,1,0,0,Alcohol
"2,6,10-Trimethyltetradecane",240.5,0,17,0,17,0,0,3,0,0,Hydrocarbon
"3,7-Dimethyloctan-2-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
4-Ethyloctane,142.28,0,10,0,10,0,0,1,0,0,Hydrocarbon
"3,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"3,6-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"2,3-Dimethylhex-1-ene",112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
3-Ethyl-2-methylhexane,128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"3,6-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"3,8-Dimethylundecane",184.36,0,13,0,13,0,0,2,0,0,Hydrocarbon
"4,5-Dimethylnonane",156.31,0,11,0,11,0,0,2,0,0,Hydrocarbon
"2,3-Dimethyldecane",170.33,0,12,0,12,0,0,2,0,0,Hydrocarbon
9-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon
3-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
"3,7-Dimethyl-1-octen-3-ol",156.26,20.2,11,1,10,0,1,3,1,0,Alcohol
"3,7-Dimethyloct-6-en-3-ol",156.26,20.2,11,1,10,0,1,3,1,0,Alcohol
"2,6-Dimethyloctan-2-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
2-Methyl-1-decanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
2-Methylheptan-3-ol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
5-Methyl-3-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
6-Methylheptan-3-ol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
2-Ethyl-2-methylbutan-1-ol,116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
1-Triacontene,420.8,0,30,0,30,0,0,0,1,0,Hydrocarbon
1-Dotriacontene,448.8,0,32,0,32,0,0,0,1,0,Hydrocarbon
2-Methyl-1-undecene,168.32,0,12,0,12,0,0,1,1,0,Hydrocarbon
1-Octacosene,392.7,0,28,0,28,0,0,0,1,0,Hydrocarbon
"3,4-Diethylhexane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
3-Ethyl-3-heptanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
"1,14-Tetradecanediol",230.39,40.5,16,2,14,0,2,1,0,0,Alcohol
N-Ethylisopropylamine,87.16,12,6,1,5,1,0,1,0,0,Amine
3-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
N-Ethylpropylamine,87.16,12,6,1,5,1,0,0,0,0,Amine
N-Isopropylpropylamine,101.19,12,7,1,6,1,0,1,0,0,Amine
"4,7-Dimethyloctan-4-ol",158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
4-Heptyn-2-ol,112.17,20.2,8,1,7,0,1,1,0,1,Alcohol
"2,4,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
"3,4,5-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
3-Methylnonan-3-ol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
5-Tetradecanol,214.39,20.2,15,1,14,0,1,1,0,0,Alcohol
"1,2-Tetradecanediol",230.39,40.5,16,2,14,0,2,1,0,0,Alcohol
1-Nonen-3-ol,142.24,20.2,10,1,9,0,1,1,1,0,Alcohol
2-(2-{2-[2-(2-Methoxy-ethoxy)-ethoxy]-ethoxy}-ethoxy)-ethanol,252.3,66.4,17,6,11,0,6,0,0,0,Alcohol
"2,5,8,11-Tetraoxatridecan-13-ol",208.25,57.2,14,5,9,0,5,0,0,0,Alcohol
4-Methyl-4-nonanol,158.28,20.2,11,1,10,0,1,2,0,0,Alcohol
"1,3-Octanediol",146.23,40.5,10,2,8,0,2,1,0,0,Alcohol
(Allyloxy)propanediol,132.16,49.7,9,3,6,0,3,1,1,0,Alcohol
3-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
1-Tert-butoxy-2-propanol,132.2,29.5,9,2,7,0,2,3,0,0,Alcohol
"2,2,3,3-Tetramethylpentane",128.25,0,9,0,9,0,0,4,0,0,Hydrocarbon
"3-Methoxy-1,2-propanediol",106.12,49.7,7,3,4,0,3,1,0,0,Alcohol
"1,2-Dodecanediol",202.33,40.5,14,2,12,0,2,1,0,0,Alcohol
"2,4-Dimethyloctane",142.28,0,10,0,10,0,0,2,0,0,Hydrocarbon
"3,5,5-Trimethyl-1-hexene",126.24,0,9,0,9,0,0,3,1,0,Hydrocarbon
"1,2-Pentanediol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol
4-Ethyl-1-octyn-3-ol,154.25,20.2,11,1,10,0,1,2,0,1,Alcohol
3-Methylhexadecane,240.5,0,17,0,17,0,0,1,0,0,Hydrocarbon
6-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
5-Methyldecane,156.31,0,11,0,11,0,0,1,0,0,Hydrocarbon
N-Heptylmethylamine,129.24,12,9,1,8,1,0,0,0,0,Amine
Ethoxypropanol,104.15,29.5,7,2,5,0,2,1,0,0,Alcohol
"2,3,4-Trimethylheptane",142.28,0,10,0,10,0,0,3,0,0,Hydrocarbon
D-Arabinitol,152.15,101,10,5,5,0,5,4,0,0,Alcohol
5-Methylundecane,170.33,0,12,0,12,0,0,1,0,0,Hydrocarbon
4-Nonene,126.24,0,9,0,9,0,0,0,1,0,Hydrocarbon
2-Methyl-3-buten-1-ol,86.13,20.2,6,1,5,0,1,1,1,0,Alcohol
3-Methylheptadecane,254.5,0,18,0,18,0,0,1,0,0,Hydrocarbon
3-Methylnonadecane,282.5,0,20,0,20,0,0,1,0,0,Hydrocarbon
"1,2-Hexanediol",118.17,40.5,8,2,6,0,2,1,0,0,Alcohol
"2,4,4-Trimethyl-2-pentanol",130.229,20.2,9,1,8,0,1,4,0,0,Alcohol
"2,4-Hexadiyne-1,6-diol",110.11,40.5,8,2,6,0,2,1,0,2,Alcohol
N-Propyldibutylamine,171.32,3.2,12,1,11,1,0,1,0,0,Amine
"2,2,3-Trimethylhexan-3-ol",144.25,20.2,10,1,9,0,1,4,0,0,Alcohol
2-Hexyl-1-decanol,242.44,20.2,17,1,16,0,1,1,0,0,Alcohol
"2-Methylbutane-2,3-diol",104.15,40.5,7,2,5,0,2,3,0,0,Alcohol
"3,4-Dimethyl-1-pentyn-3-ol",112.17,20.2,8,1,7,0,1,3,0,1,Alcohol
N-Methylpropargylamine,69.11,12,5,1,4,1,0,0,0,1,Amine
Tetrahydrolavandulol,158.28,20.2,11,1,10,0,1,3,0,0,Alcohol
"3-Methylpentane-2,4-diol",118.17,40.5,8,2,6,0,2,3,0,0,Alcohol
6-Methyl-2-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
2-Pentadecanol,228.41,20.2,16,1,15,0,1,1,0,0,Alcohol
"3-Dodecyloxypropane-1,2-diol",260.41,49.7,18,3,15,0,3,1,0,0,Alcohol
7-Ethyl-2-methyl-4-undecanol,214.39,20.2,15,1,14,0,1,3,0,0,Alcohol
"1,2-Hexadecanediol",258.44,40.5,18,2,16,0,2,1,0,0,Alcohol
"2,4-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
"2,2-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
"3,5-Dimethyl-3-hexanol",130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
4-Methyl-1-hexanol,116.2,20.2,8,1,7,0,1,1,0,0,Alcohol
3-Methyleicosane,296.6,0,21,0,21,0,0,1,0,0,Hydrocarbon
2-Methyl-3-octanol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
5-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
3-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
4-Undecanol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
4-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
6-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
5-Methyltetradecane,212.41,0,15,0,15,0,0,1,0,0,Hydrocarbon
5-Decanol,158.28,20.2,11,1,10,0,1,1,0,0,Alcohol
5-Methyl-1-heptene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
"3,3,6-Trimethylhepta-1,5-dien-4-ol",154.25,20.2,11,1,10,0,1,4,2,0,Alcohol
"3,3-Dimethyl-1,2-butanediol",118.17,40.5,8,2,6,0,2,3,0,0,Alcohol
"Octa-1,3,7-triene",108.18,0,8,0,8,0,0,0,3,0,Hydrocarbon
D-Citronellol,156.26,20.2,11,1,10,0,1,2,1,0,Alcohol
"2-Ethylpropane-1,3-diol",104.15,40.5,7,2,5,0,2,1,0,0,Alcohol
2-Methyloctan-1-ol,144.25,20.2,10,1,9,0,1,1,0,0,Alcohol
"3,4-Hexanediol",118.17,40.5,8,2,6,0,2,2,0,0,Alcohol
"3,7,11-Trimethyl-1-dodecyn-3-ol",224.38,20.2,16,1,15,0,1,4,0,1,Alcohol
3-Methyl-4-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
Tris(2-ethylhexyl)amine,353.7,3.2,25,1,24,1,0,4,0,0,Amine
4-Methyl-4-penten-2-ol,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
3-Ethylhex-1-ene,112.21,0,8,0,8,0,0,1,1,0,Hydrocarbon
2-Ethyl-3-methyl-1-pentene,112.21,0,8,0,8,0,0,2,1,0,Hydrocarbon
3-Methylhexylamine,115.22,26,8,1,7,1,0,1,0,0,Amine
"3,7-Dimethylocta-1,5,7-trien-3-ol",152.23,20.2,11,1,10,0,1,3,3,0,Alcohol
4-Methyl-2-propylpentan-1-ol,144.25,20.2,10,1,9,0,1,2,0,0,Alcohol
9-Methyldecan-1-ol,172.31,20.2,12,1,11,0,1,1,0,0,Alcohol
4-Methyl-1-heptanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
"4,4-Dimethyl-2-pentanol",116.2,20.2,8,1,7,0,1,3,0,0,Alcohol
3-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
3-Methyloctadecane,268.5,0,19,0,19,0,0,1,0,0,Hydrocarbon
"3,4-Dimethyl-1-pentanol",116.2,20.2,8,1,7,0,1,2,0,0,Alcohol
n-Methylbutan-2-amine,87.16,12,6,1,5,1,0,1,0,0,Amine
"2,3,6-Trimethyloctane",156.31,0,11,0,11,0,0,3,0,0,Hydrocarbon
"2,2,3-Trimethyldecane",184.36,0,13,0,13,0,0,3,0,0,Hydrocarbon
"2,2,4,4,6-Pentamethylheptane",170.33,0,12,0,12,0,0,5,0,0,Hydrocarbon
2-Undecanamine,171.32,26,12,1,11,1,0,1,0,0,Amine
9-Dodecyn-1-ol,182.3,20.2,13,1,12,0,1,0,0,1,Alcohol
4-Methyltridecane,198.39,0,14,0,14,0,0,1,0,0,Hydrocarbon
N-Methylpentylamine,101.19,12,7,1,6,1,0,0,0,0,Amine
1-Tridecyne,180.33,0,13,0,13,0,0,0,0,1,Hydrocarbon
"3,7,11,15-Tetramethylhexadec-1-yn-3-ol",294.5,20.2,21,1,20,0,1,5,0,1,Alcohol
13-Tetradecen-1-ol,212.37,20.2,15,1,14,0,1,0,1,0,Alcohol
"2,6-Dimethyloct-7-ene-2,6-diol",172.26,40.5,12,2,10,0,2,4,1,0,Alcohol
N-Methyltetradecylamine,227.43,12,16,1,15,1,0,0,0,0,Amine
(2H4)Methane,20.067,0,1,0,1,0,0,2,0,0,Hydrocarbon
Dotetracontane,591.1,0,42,0,42,0,0,0,0,0,Hydrocarbon
"2,4-Dimethyl-1-heptene",126.24,0,9,0,9,0,0,2,1,0,Hydrocarbon
Non-3-yn-1-ol,140.22,20.2,10,1,9,0,1,0,0,1,Alcohol
Ethynol,42.04,20.2,3,1,2,0,1,0,0,1,Alcohol
Butylisopropylamine,115.22,12,8,1,7,1,0,1,0,0,Amine
"Pentane-2,3-diol",104.15,40.5,7,2,5,0,2,2,0,0,Alcohol
2-Propyl-1-pentanol,130.229,20.2,9,1,8,0,1,1,0,0,Alcohol
"Heptane-1,2,3-triol",148.2,60.7,10,3,7,0,3,2,0,0,Alcohol
"7,11-Dimethyloctadecane",282.5,0,20,0,20,0,0,2,0,0,Hydrocarbon
"2,6,11,15-Tetramethylhexadecane",282.5,0,20,0,20,0,0,4,0,0,Hydrocarbon
2-Methyl-3-pentyn-2-ol,98.14,20.2,7,1,6,0,1,2,0,1,Alcohol
"2,3-Pentadiene",68.12,0,5,0,5,0,0,0,2,0,Hydrocarbon
"1,2-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
"2,3-Hexadiene",82.14,0,6,0,6,0,0,0,2,0,Hydrocarbon
3-Ethyl-2-methyl-3-pentanol,130.229,20.2,9,1,8,0,1,3,0,0,Alcohol
Tributylcarbinol,200.36,20.2,14,1,13,0,1,2,0,0,Alcohol
4-Methyl-4-heptanol,130.229,20.2,9,1,8,0,1,2,0,0,Alcohol
9-Heptadecanol,256.5,20.2,18,1,17,0,1,1,0,0,Alcohol
2-Methyl-4-penten-2-ol,100.16,20.2,7,1,6,0,1,2,1,0,Alcohol
"Hepta-2,4-diene",96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon
2-Dodecyne,166.3,0,12,0,12,0,0,0,0,1,Hydrocarbon
2-Tetradecyne,194.36,0,14,0,14,0,0,0,0,1,Hydrocarbon
Undec-4-ene,154.29,0,11,0,11,0,0,0,1,0,Hydrocarbon
"2,3,3-Trimethyl-1,4-pentadiene",110.2,0,8,0,8,0,0,3,2,0,Hydrocarbon
"2,3-Dimethyl-1,4-pentadiene",96.17,0,7,0,7,0,0,2,2,0,Hydrocarbon
4-Methyl-3-penten-1-ol,100.16,20.2,7,1,6,0,1,1,1,0,Alcohol
"2,6-Octadiyne",106.16,0,8,0,8,0,0,0,0,2,Hydrocarbon
5-Undecene,154.29,0,11,0,11,0,0,0,1,0,Hydrocarbon
"3,4-Diethyl-3-hexene",140.27,0,10,0,10,0,0,2,1,0,Hydrocarbon
3-Methyl-1-pentyne,82.14,0,6,0,6,0,0,1,0,1,Hydrocarbon
7-Tridecanol,200.36,20.2,14,1,13,0,1,1,0,0,Alcohol
"4,4-Dimethyl-2-pentyne",96.17,0,7,0,7,0,0,2,0,1,Hydrocarbon
"4,4-Dimethylheptane",128.25,0,9,0,9,0,0,2,0,0,Hydrocarbon
"2,4,6-Octatriyne",102.13,0,8,0,8,0,0,0,0,3,Hydrocarbon
"Hepta-1,5-diene",96.17,0,7,0,7,0,0,0,2,0,Hydrocarbon
